PackageName;DisplayName;CategoryKey;DescKey
unityhub;Unity Hub;cat.gamedev;desc.unityhub
steampipe-gui;SteamPipe GUI;cat.gamedev;desc.steampipe-gui
jetbrains-rider;Rider;cat.gamedev;desc.rider
code;Visual Studio Code;cat.gamedev;desc.code
godot;Godot Engine;cat.gamedev;desc.godot
gitnuro-bin;Gitnuro;cat.gamedev;desc.gitnuro
krita;Krita;cat.creativity;desc.krita
blender;Blender;cat.creativity;desc.blender
gimp;GIMP;cat.creativity;desc.gimp
inkscape;Inkscape;cat.creativity;desc.inkscape
imagefinish;ImageFinish;cat.creativity;desc.imagefinish
steam;Steam;cat.gaming;desc.steam
steamvr;SteamVR;cat.gaming;desc.steamvr
sidequest-bin;SideQuest;cat.gaming;desc.sidequest
lutris;Lutris;cat.gaming;desc.lutris
protonup-qt;ProtonUp-Qt;cat.gaming;desc.protonup
audacity;Audacity;cat.media;desc.audacity
haruna;Haruna;cat.media;desc.haruna
vlc;VLC;cat.media;desc.vlc
obs-studio;OBS Studio;cat.media;desc.obs
libreoffice-fresh;LibreOffice;cat.office;desc.libreoffice
okular;Okular;cat.office;desc.okular
firefox;Firefox;cat.web;desc.firefox
opera;Opera;cat.web;desc.opera
telegram-desktop;Telegram;cat.web;desc.telegram
discord;Discord;cat.web;desc.discord
qbittorrent;qBittorrent;cat.web;desc.qbittorrent
flatpak;Flatpak;cat.system;desc.flatpak
gparted;GParted;cat.system;desc.gparted
bitwarden;Bitwarden;cat.system;desc.bitwarden
nvidia-dkms;NVIDIA Proprietary Driver;cat.hardware;desc.nvidia
nvidia-utils lib32-nvidia-utils;NVIDIA Utils (32/64-bit);cat.hardware;desc.nvidia_utils
nvidia-settings;NVIDIA Settings;cat.hardware;desc.nvidia_set
asusctl;ASUS System Control;cat.hardware;desc.asusctl
supergfxctl;SuperGFX Control;cat.hardware;desc.supergfx
rog-control-center;ROG Control Center;cat.hardware;desc.rog
intel-ucode;Intel Microcode;cat.hardware;desc.intel_ucode
amd-ucode;AMD Microcode;cat.hardware;desc.amd_ucode
bluez bluez-utils;Bluetooth Stack;cat.hardware;desc.bluez
cups cups-pdf;Printing System (CUPS);cat.hardware;desc.cups
xpadneo-dkms;Xbox Controller Driver;cat.hardware;desc.xpadneo
hplip;HP Printers & Scanners;cat.hardware;desc.hplip
sane sane-airscan;Universal Scanner Drivers;cat.hardware;desc.sane
dualsensectl steam-devices;Sony PlayStation Controllers;cat.hardware;desc.dualsense
xone-dkms xone-dongle-firmware;Xbox Controller (Dongle/Wired);cat.hardware;desc.xone
broadcom-wl-dkms;Broadcom Wi-Fi Drivers;cat.hardware;desc.broadcom
solaar;Logitech Device Manager;cat.hardware;desc.solaar
openrazer-meta polychromatic;Razer Peripherals (OpenRazer);cat.hardware;desc.openrazer
xf86-input-wacom libwacom;Wacom Graphics Tablets;cat.hardware;desc.wacom
displaylink evdi-dkms;DisplayLink USB Docks;cat.hardware;desc.displaylink
